tweet,soft_labels_task1,soft_labels_task2,soft_labels_task3
@Jojobajojoba123 @Pabel5Pabel @lazyjoolz @reallorraine Cos it doesn’t happen and if it does why should all trans women be vilified for the few outliers? If it’s #notallmen then it’s #notalltranswomen too. Either all men get castrated cos they can’t stop raping or we simply just educate people that rape is bad instead😁👍,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.0, 0.5, 0.16666666666666666]","[0.3333333333333333, 0.0, 0.0, 0.16666666666666666, 0.5, 0.16666666666666666]"
In before the replies of- “I’m a man who goes to therapy”- Follow up jokes that miss the mark- #NotAllMen- #NotAllWomen,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.5, 0.16666666666666666, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.0, 0.0, 0.16666666666666666]"
It's patriarchal world. Women can have no job yet can live on her own. Not  men. #NotAllMen,"[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.6666666666666666, 0.16666666666666666, 0.0]","[0.16666666666666666, 0.3333333333333333, 0.0, 0.16666666666666666, 0.0, 0.8333333333333334]"
@formulamaja Remember the time Lewis accused @f1 of not doing enough about racism and he came up with a #NotAllMen kind of response? 🤣,"[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0]","[0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0]"
"Any person putting pronouns in their bio and chanting TWAW is saying #NotAllMen. This is not ‘anti’ anyone - it’s recognising that in order to address the entrenched misogyny, the abuse and violence that is inflicted on women we have to recognise sex. #sexmatters","[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666]","[0.16666666666666666, 0.6666666666666666, 0.16666666666666666, 0.0, 0.0, 0.0]"
#NotAllMen have a penis. Not all women have a vaginaNot all folks ascribe to the binary,"[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.0, 0.3333333333333333, 0.0]","[0.6666666666666666, 0.0, 0.0, 0.0, 0.16666666666666666, 0.3333333333333333]"
"@BonfireBlaze Why am I still like 'wow, guys STILL publicly say this shit in 2022'??? Clearly there's some small glimmer of hope in me that needs to be quashed immediately. Queue the notallmen brigade🙄","[0.5, 0.5]","[0.5, 0.0, 0.16666666666666666, 0.3333333333333333]","[0.5, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333]"
"This is also a very good explanation for why privilege can blind a person to oppressionThey do not feel disadvantaged because the predators/opperssors look/act exactly like they would, &amp; so feel threatened by accusations possibly because they have good intentions e.g #notallmen https://t.co/zDVaQVAXAj","[0.5, 0.5]","[0.5, 0.0, 0.16666666666666666, 0.3333333333333333]","[0.5, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666]"
"notallmen are notallmen !Female single sex spaces, services &amp; safeguards exclude all males, except for v small accompanied boys, because some males are like that. They dont come with labels &amp; apart from LaylaMoran, we cant see inside their soulsmixed sex = open to all men https://t.co/5FHVSDZTJo","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333]"
"obviously #NotAllMen but sorry, the Fisher exact test leaves no doubt","[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.0, 0.3333333333333333, 0.0]","[0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0]"
Stop saying #NotAllMen embarrass the fact yes its men carry the guilt for the all the mischievous done by those bastards until the females realize themselves its #NotAllMen,"[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.5, 0.16666666666666666, 0.16666666666666666]","[0.16666666666666666, 0.8333333333333334, 0.0, 0.16666666666666666, 0.0, 0.16666666666666666]"
Notice how civilian men who don’t hold any political power in their country keep tweeting “we” are doing this/that? This isn’t COD. War isn’t a Friday night twitch channel. You’re tweeting from home. #UkraineRussiaWar #CallofDuty #NotAllMen #antiracist #antiwar #veteran,"[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.16666666666666666, 0.0]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0]"
"Am I the only one who reads #notallmen as no_tall_men? Not making any deep points here, just confused (not an infrequent occurrence).","[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.16666666666666666, 0.0]","[0.8333333333333334, 0.0, 0.0, 0.16666666666666666, 0.0, 0.0]"
@MaryBurtty @DurgeDiggler @Yascha_Mounk let’s look at your retweets:nintendo switchsportsnotallmenwow you’re really hitting hard on the social commentary! how could i keep up?stop fronting and just be honest with yourself. “still figuring things out” is the only truthful thing you’ve ever said.,"[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.3333333333333333, 0.0, 0.0]","[0.6666666666666666, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333]"
"@Kon__K #AllMen need to step up their game because #NotAllMen can be trusted to keep their own behaviour in check.If a schmuck like me can be a decent(ish) human being for 51+ years despite many, MANY instances of not being sober and/or in a legal frame of mind, you can do it too...","[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.16666666666666666, 0.0]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0]"
"The #notallmen tag is currently trending in NL. I know it's not all men, but it is heckin' hard to trust men when you've had men you know as well as random strangers force themselves onto you or touch you without consent.Just putting it out there. Watch the video below. https://t.co/3uS00j158m","[0.0, 1.0]","[0.0, 0.0, 0.6666666666666666, 0.3333333333333333]","[0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 1.0, 0.16666666666666666]"
This is why #notallmen can suck a d*ck. Treat every gun like it’s loaded and treat every man like he might strangle you. Simple as that. https://t.co/yoDzZjL7zT,"[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.3333333333333333, 0.5, 0.0]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.5]"
"@ShapiroTattoo @Tachardiella @Alex37731 @d_uxbal @Howlark1 @materialsister @exploneuro @NeasaEdmunds @toriajayne @PennyRed @CaroleVivienne @Warren_Whitmore @DanThaddeus @HermionePankhu2 @janeclarejones @SamBarber1910 @Docstockk this is not saying that all transwomen are inherently sexually violent, any more than all men are (#NotAllMen, remember?). It IS to say that the risks to women from TW are the same as the risks from all males. Sort yourself out.","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333]","[0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666, 0.16666666666666666]"
@chukaobi There are absolutely many wrong things about patriarchy and we can’t reduce it to ‘physical strength’. Patriarchy is an umbrella term for superiority in a lot of toxic ways. Also it’s fallacious to say ‘men will always be physically stronger’ if we want to be ‘academic’ like that,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.0, 0.16666666666666666, 0.0, 0.3333333333333333]"
An excellent thread on how the patriarchy deforms men's souls and damages their lives. https://t.co/hQ16C565CT,"[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0]","[0.6666666666666666, 0.16666666666666666, 0.0, 0.0, 0.0, 0.16666666666666666]"
"okay but what if it was two women saying ""fuck the patriarchy""... that would actually be so sexy of them","[0.0, 1.0]","[0.0, 0.8333333333333334, 0.0, 0.16666666666666666]","[0.0, 0.16666666666666666, 0.0, 0.5, 0.0, 0.3333333333333333]"
you were tossing me the car keys fuck the patriarchy pee stain on the ground,"[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0]","[0.8333333333333334, 0.0, 0.16666666666666666, 0.0, 0.0, 0.0]"
"Rep. Ayanna Pressley, D-MA, claimed that recent #abortionbans are rooted in a patriarchy and #whitesupremacy. Conservative activist Ryan Girdusky pointed out that nearly all of the nations in Africa ban abortion. ""Are they pro-white supremacy?” he asked.","[0.5, 0.5]","[0.5, 0.0, 0.3333333333333333, 0.16666666666666666]","[0.5, 0.5, 0.0, 0.0, 0.0, 0.0]"
YOU WERE TOSSING ME THE CAR KEYS FUCK THE PATRIARCHY https://t.co/0VPAodN33K,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666]","[0.3333333333333333, 0.16666666666666666, 0.0, 0.0, 0.0, 0.5]"
"@WhiteHouseGPC Patriarchy sits at the intersection of control of Women, property &amp; war - explain how non discrimination based on “gender” protects Women from #RapeCulture https://t.co/SiiRguwGa2","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.0, 0.16666666666666666, 0.5]","[0.3333333333333333, 0.3333333333333333, 0.0, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]"
@thehill Down with the Patriarchy in the Healthcare Industry! Oh…are we allowed to say male and female now? I thought that was transphobic…🙄,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.3333333333333333, 0.0, 0.16666666666666666]","[0.3333333333333333, 0.5, 0.0, 0.0, 0.0, 0.16666666666666666]"
@afrodykee Blackness is not a shield for men to protect themselves from criticism. Especially men ignorant of all the patriarchy in non white countries. Female babies are aborted in China. Women are isolated in menstruation huts. Breast ironing. FGM. POC know what sex is.,"[0.0, 1.0]","[0.0, 0.0, 0.3333333333333333, 0.5]","[0.0, 0.8333333333333334, 0.5, 0.3333333333333333, 0.8333333333333334, 0.5]"
"Also, dump those who tell you that radical love and calm positivity will defeat populist, nostalgic, paternalistic, and strongman politics. A culture shaped by patriarchy and machismo doesn't consider love and positivity masculine or strong. They belong in churches and convents.","[0.5, 0.5]","[0.5, 0.0, 0.5, 0.0]","[0.5, 0.5, 0.16666666666666666, 0.0, 0.0, 0.5]"
"@SusanLynch22 @jgindel @ResisterSis20 @momsbsm1 @Headerop1 @yoksig @jkf3500 @DearAuntCrabby @embeessem @CheckBalance7 @P4boxers @openpodbaydoor_ @ZEphotographic @KendraDrake94 @HickoryFlatG8r @McFaul @skewermann @SuzieBird4 @Suzyqfit4u @LightfootInHwd @katalva3 @HeathenResister Because a bronze age tribal patriarchy is a good model for a modern, technological society, right? https://t.co/Nria61qXiC","[0.5, 0.5]","[0.5, 0.0, 0.16666666666666666, 0.3333333333333333]","[0.5, 0.16666666666666666, 0.16666666666666666, 0.0, 0.0, 0.3333333333333333]"
"@clairlemon @Brooks_Rob Yes. Because a controlled supply of sex is a good thing, ya heathens.No one is happier about open sex and easy women than the patriarchy. I’ll tell you that much.","[0.0, 1.0]","[0.0, 0.16666666666666666, 0.5, 0.3333333333333333]","[0.0, 0.3333333333333333, 0.16666666666666666, 0.6666666666666666, 0.16666666666666666, 0.5]"
"Patriarchy appoints the relatively more conformist women to the posts of ""assistant oppressor"" or ""personal secretory to chief patriarch"" so they feel valued and important in a system built on their dehumanization. This is best seen in the traditional Indian family.2/7","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666]","[0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0, 0.5]"
"Transphobes are so weak and cowardly that instead of going after real misogyny &amp; the patriarchy, they resort to targeting a different vulnerable group and become the abusers themselves in order to feel powerful. I see you. The bullied becoming the bullies isn't a cool look. https://t.co/bjTsJ2a77L","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.5, 0.0, 0.16666666666666666]","[0.3333333333333333, 0.5, 0.16666666666666666, 0.0, 0.0, 0.16666666666666666]"
"Idk it’s just different. Maybe due to ingrained patriarchy or something. I use to tell my bm I’d love to watch her fuck a girl, but another nigga? Hell nah https://t.co/NM5T8FvCTC","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.6666666666666666, 0.0, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5]"
"@iguessnotidk ""You're not God or my father, OR my boss""Ah yes, the three genders of the socius, a summary of universal history. The primitive code of the earth, the despotic overcode whose royal incest establishes the patriarchy, and the civilized capitalist machine","[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.16666666666666666, 0.0]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0]"
@kintsugery @dovesummer1 I really liked it! Don’t expect traditional horror - it’s more of a terrifying folk tale. Very atmospheric and a fascinating critique of patriarchy.,"[0.5, 0.5]","[0.5, 0.0, 0.3333333333333333, 0.16666666666666666]","[0.5, 0.5, 0.0, 0.0, 0.0, 0.0]"
"They can fight for Hijabs but not against Triple Talaks, Four Mariage rituals, even when they are excluded from education, exploitation, marital violences,they don't protest, they like to live in patriarchy... I hope they fight for following matters too #HijabRow","[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.16666666666666666, 0.5, 0.16666666666666666]","[0.16666666666666666, 0.6666666666666666, 0.0, 0.3333333333333333, 0.0, 0.16666666666666666]"
"The whiskey and cigars, the $99 dollar seminars, the mustache wax, the secret societies, the 'we need a patriarchy' discourse...into the trash it goes. If you're feeling a crisis of manhood then just be handsome and stop talking, or at least stop talking like *that*","[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.3333333333333333, 0.0, 0.0]","[0.6666666666666666, 0.16666666666666666, 0.0, 0.0, 0.0, 0.16666666666666666]"
"I would be glad to see the violence on TwitterNG over the next couple of weeks.Both Patriarchy and Misandry FCs are in top form, and they are prepared to go nose-to-nose. 😂😂😂Let's have it.","[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.0, 0.3333333333333333, 0.0]","[0.6666666666666666, 0.16666666666666666, 0.0, 0.0, 0.0, 0.16666666666666666]"
"@ProteanRedux @HugoThePinkCat @DeclarationOn @BBCPolitics ActionAid conducted a survey on street harassment - They found that 79% of women living in cities in India, 86% in Thailand, and 89% in Brazil have been subjected to harassment or violence in public, as had 75% of women in London, UK. https://t.co/JL0FUYjpwC","[0.0, 1.0]","[0.0, 0.0, 0.16666666666666666, 0.8333333333333334]","[0.0, 0.3333333333333333, 0.5, 0.0, 0.8333333333333334, 0.16666666666666666]"
Over 400 people used our #streetharassment helpline this year. You can donate $10 or more to fund it in 2022 &amp; help more people! https://t.co/2ySc4VzqZh #GivingTuesday #stopstreetharassment,"[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.0, 0.0, 0.3333333333333333]","[0.6666666666666666, 0.0, 0.0, 0.16666666666666666, 0.3333333333333333, 0.0]"
